# KEY," Footprint","Datasheet","MFN","MFP","DigiPN","DigiPL","MouserPN","MouserPL"
RES_100_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_110_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402110RFKED","541-110LCT","http://www.digikey.com/product-detail/en/CRCW0402110RFKED/541-110LCT-ND/1183013","_","_"
RES_120_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402120RFKED","541-120LCT","http://www.digikey.com/product-detail/en/CRCW0402120RFKED/541-120LCT-ND/1183017","_","_"
RES_130_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402130RFKED","541-130LCT","http://www.digikey.com/product-detail/en/CRCW0402130RFKED/541-130LCT-ND/1183021","_","_"
RES_150_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402150RFKED","541-150LCT","http://www.digikey.com/product-detail/en/CRCW0402150RFKED/541-150LCT-ND/1183027","_","_"
RES_160_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402160RFKED","541-160LCT","http://www.digikey.com/product-detail/en/CRCW0402160RFKED/541-160LCT-ND/1183030","_","_"
RES_180_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402180RFKED","541-180LCT","http://www.digikey.com/product-detail/en/CRCW0402180RFKED/541-180LCT-ND/1183036","_","_"
RES_200_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402200RFKED","541-200LCT","http://www.digikey.com/product-detail/en/CRCW0402200RFKED/541-200LCT-ND/1183041","_","_"
RES_220_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402220RFKED","541-220LCT","http://www.digikey.com/product-detail/en/CRCW0402220RFKED/541-220LCT-ND/1183045","_","_"
RES_240_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402240RFKED","541-240LCT","http://www.digikey.com/product-detail/en/CRCW0402240RFKED/541-240LCT-ND/1183050","_","_"
RES_270_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402270RFKED","541-270LCT","http://www.digikey.com/product-detail/en/CRCW0402270RFKED/541-270LCT-ND/1183056","_","_"
RES_300_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402300RFKED","541-300LCT","http://www.digikey.com/product-detail/en/CRCW0402300RFKED/541-300LCT-ND/1183061","_","_"
RES_330_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402330RFKED","541-330LCT","http://www.digikey.com/product-detail/en/CRCW0402330RFKED/541-330LCT-ND/1183066","_","_"
RES_360_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402360RFKED","541-360LCT","http://www.digikey.com/product-detail/en/CRCW0402360RFKED/541-360LCT-ND/1183071","_","_"
RES_390_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402390RFKED","541-390LCT","http://www.digikey.com/product-detail/en/CRCW0402390RFKED/541-390LCT-ND/1183075","_","_"
RES_430_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402430RFKED","541-430LCT","http://www.digikey.com/product-detail/en/CRCW0402430RFKED/541-430LCT-ND/1183080","_","_"
RES_470_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402470RFKED","541-470LCT","http://www.digikey.com/product-detail/en/CRCW0402470RFKED/541-470LCT-ND/1183085","_","_"
RES_510_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402510RFKED","541-510LCT","http://www.digikey.com/product-detail/en/CRCW0402510RFKED/541-510LCT-ND/1183089","_","_"
RES_560_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402560RFKED","541-560LCT","http://www.digikey.com/product-detail/en/CRCW0402560RFKED/541-560LCT-ND/1183094","_","_"
RES_620_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402620RFKED","541-620LCT","http://www.digikey.com/product-detail/en/CRCW0402620RFKED/541-620LCT-ND/1183100","_","_"
RES_680_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402680RFKED","541-680LCT","http://www.digikey.com/product-detail/en/CRCW0402680RFKED/541-680LCT-ND/1183104","_","_"
RES_750_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402750RFKED","541-750LCT","http://www.digikey.com/product-detail/en/CRCW0402750RFKED/541-750LCT-ND/1183109","_","_"
RES_820_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402820RFKED","541-820LCT","http://www.digikey.com/product-detail/en/CRCW0402820RFKED/541-820LCT-ND/1183113","_","_"
RES_910_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402910RFKED","541-910LCT","http://www.digikey.com/product-detail/en/CRCW0402910RFKED/541-910LCT-ND/1183119","_","_"
RES_0.1k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_0.10k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_0.11k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402110RFKED","541-110LCT","http://www.digikey.com/product-detail/en/CRCW0402110RFKED/541-110LCT-ND/1183013","_","_"
RES_0.12k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402120RFKED","541-120LCT","http://www.digikey.com/product-detail/en/CRCW0402120RFKED/541-120LCT-ND/1183017","_","_"
RES_0.13k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402130RFKED","541-130LCT","http://www.digikey.com/product-detail/en/CRCW0402130RFKED/541-130LCT-ND/1183021","_","_"
RES_0.15k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402150RFKED","541-150LCT","http://www.digikey.com/product-detail/en/CRCW0402150RFKED/541-150LCT-ND/1183027","_","_"
RES_0.16k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402160RFKED","541-160LCT","http://www.digikey.com/product-detail/en/CRCW0402160RFKED/541-160LCT-ND/1183030","_","_"
RES_0.18k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402180RFKED","541-180LCT","http://www.digikey.com/product-detail/en/CRCW0402180RFKED/541-180LCT-ND/1183036","_","_"
RES_0.20k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402200RFKED","541-200LCT","http://www.digikey.com/product-detail/en/CRCW0402200RFKED/541-200LCT-ND/1183041","_","_"
RES_0.22k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402220RFKED","541-220LCT","http://www.digikey.com/product-detail/en/CRCW0402220RFKED/541-220LCT-ND/1183045","_","_"
RES_0.24k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402240RFKED","541-240LCT","http://www.digikey.com/product-detail/en/CRCW0402240RFKED/541-240LCT-ND/1183050","_","_"
RES_0.27k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402270RFKED","541-270LCT","http://www.digikey.com/product-detail/en/CRCW0402270RFKED/541-270LCT-ND/1183056","_","_"
RES_0.30k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402300RFKED","541-300LCT","http://www.digikey.com/product-detail/en/CRCW0402300RFKED/541-300LCT-ND/1183061","_","_"
RES_0.33k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402330RFKED","541-330LCT","http://www.digikey.com/product-detail/en/CRCW0402330RFKED/541-330LCT-ND/1183066","_","_"
RES_0.36k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402360RFKED","541-360LCT","http://www.digikey.com/product-detail/en/CRCW0402360RFKED/541-360LCT-ND/1183071","_","_"
RES_0.39k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402390RFKED","541-390LCT","http://www.digikey.com/product-detail/en/CRCW0402390RFKED/541-390LCT-ND/1183075","_","_"
RES_0.43k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402430RFKED","541-430LCT","http://www.digikey.com/product-detail/en/CRCW0402430RFKED/541-430LCT-ND/1183080","_","_"
RES_0.47k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402470RFKED","541-470LCT","http://www.digikey.com/product-detail/en/CRCW0402470RFKED/541-470LCT-ND/1183085","_","_"
RES_0.51k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402510RFKED","541-510LCT","http://www.digikey.com/product-detail/en/CRCW0402510RFKED/541-510LCT-ND/1183089","_","_"
RES_0.56k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402560RFKED","541-560LCT","http://www.digikey.com/product-detail/en/CRCW0402560RFKED/541-560LCT-ND/1183094","_","_"
RES_0.62k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402620RFKED","541-620LCT","http://www.digikey.com/product-detail/en/CRCW0402620RFKED/541-620LCT-ND/1183100","_","_"
RES_0.68k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402680RFKED","541-680LCT","http://www.digikey.com/product-detail/en/CRCW0402680RFKED/541-680LCT-ND/1183104","_","_"
RES_0.75k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402750RFKED","541-750LCT","http://www.digikey.com/product-detail/en/CRCW0402750RFKED/541-750LCT-ND/1183109","_","_"
RES_0.82k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402820RFKED","541-820LCT","http://www.digikey.com/product-detail/en/CRCW0402820RFKED/541-820LCT-ND/1183113","_","_"
RES_0.91k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402910RFKED","541-910LCT","http://www.digikey.com/product-detail/en/CRCW0402910RFKED/541-910LCT-ND/1183119","_","_"
RES_1k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.0k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.1k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.2k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.3k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.5k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.6k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_1.8k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_2.0k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_2.2k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_2.4k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_2.7k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_3.0k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_3k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_3.3k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_3.6k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_3.9k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_4.3k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_4.7k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_5.1k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_5.6k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_6.2k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_6.8k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_7.5k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_8.2k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_9.1k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_10k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_11k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_12k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_13k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_15k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_16k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_18k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_20k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_22k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_24k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_27k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_30k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_33k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_36k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_39k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_43k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_47k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_51k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_56k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_62k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_68k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_75k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_82k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_91k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_100k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_110k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_120k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_130k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_150k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_160k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_180k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_200k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_220k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_240k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_270k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_300k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_330k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_360k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_390k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_430k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_470k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_510k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_560k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_620k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_680k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_750k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_820k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
RES_910k_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","_","_","_","_","_"
